Bible Verse,Shakespeare Sentence,Embedding Similarity,TF-IDF Similarity,Jaccard Similarity,N-Gram Overlap,Levenshtein Similarity
"That day is a day of wrath, a day of trouble and distress, a day of wasteness and desolation, a day of darkness and gloominess, a day of clouds and thick darkness,~","Accurs’d, unhappy, wretched, hateful day.",0.8597084,0.1672148,0.0,0.0,0.068292685
"He that hath ears to hear, let him hear.~",Lend thine ear.,0.8596017,0.0,0.0,0.0,0.32142857
Then was the part of the hand sent from him; and this writing was written.~,Had he a hand to write this?,0.8594092,0.10655561,0.05263158,0.0,0.33009708
Thou shalt be perfect with the LORD thy God.~,Thou art perfect.,0.8593097,0.2521387,0.09090909,0.0,0.516129
"And there appeared an angel unto him from heaven, strengthening him.~","But near him, thy angel
Becomes afeard, as being o’erpowered.",0.8581448,0.15589042,0.05,0.0,0.36923078
"And when the king entered into the house of the LORD, the guard came and fetched them, and brought them again into the guard chamber.~",Enter King and Guard.,0.8577597,0.2704306,0.10526316,0.0,0.23225807
"Lord, hear my voice: let thine ears be attentive to the voice of my supplications.~","I pray you, let-a me speak a word with your ear.",0.857712,0.04034891,0.0,0.0,0.259542
And the thing pleased the king and all the congregation.~,It was the pleasure of my lord the King.,0.8575872,0.3356914,0.071428575,0.0,0.20618556
"That thou mayest regard discretion, and that thy lips may keep knowledge.~",Therefore use thy discretion.,0.8574267,0.16171378,0.071428575,0.0,0.34951457
"For he commandeth, and raiseth the stormy wind, which lifteth up the waves thereof.~","Ay, now begins a second storm to rise,
For this is he that moves both wind and tide.",0.8567946,0.13949604,0.10714286,0.0,0.2857143
"The LORD make his face shine upon thee, and be gracious unto thee:~","Now,
the Lord bless that sweet face of thine!",0.8565985,0.15064019,0.15789473,0.0,0.30357143
"I have called upon thee, for thou wilt hear me, O God: incline thine ear unto me, and hear my speech.~",I pray thee hear me speak.,0.85620314,0.31325087,0.08695652,0.0,0.328125
"Who hath ears to hear, let him hear.~",Lend thine ear.,0.85588545,0.0,0.0,0.0,0.30769232
"O LORD, thou hast seen my wrong: judge thou my cause.~","How much thou wrong’st me, heaven be my judge.",0.85585207,0.35617766,0.125,0.0,0.38
"For I have given you an example, that ye should do as I have done to you.~",I’ll make thee an example.,0.8558274,0.11909571,0.05263158,0.0,0.34
Neither shalt thou steal.~,“Thou shalt not steal”?,0.8558157,0.60297483,0.14285715,0.0,0.6122449
"Thou hast known my reproach, and my shame, and my dishonour: mine adversaries are all before thee.~","’Tis thou, and those, that have dishonoured me.",0.85579234,0.12082386,0.04761905,0.0,0.41095892
"I love the LORD, because he hath heard my voice and my supplications.~","Ay, I praise God; and I have merited some love at his hands.",0.85578156,0.08870307,0.14285715,0.0,0.26153848
And he wrote a letter after this manner:~,Has here writ a letter to you.,0.8557799,0.08457986,0.15384616,0.0,0.53521127
